c[1],c[2],c[3],c[4],c[5],c[6],p[1],p[2],p[3],p[4],p[5],p[6],h[1],g_plus[1],g_minus[1],dr[1],μ[1],μ[2],μ[3]
5879.08,2273.0,1845.3500000000001,5575.186250000001,4166.46,1931.5,350.0,200.0,135.0,320.0,350.0,150.0,0.0,0.0,0.0,245.0,45.0,100.0,100.0
5209.04875,2273.0,2052.5,4884.516250000001,4166.46,1931.5,315.0,200.0,150.0,285.0,350.0,150.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
4547.36125,2273.0,1845.3500000000001,4227.605625,4166.46,1736.65,280.0,200.0,135.0,250.0,350.0,135.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
3916.2675,2273.0,2052.5,3581.0825000000004,4166.46,1931.5,245.0,200.0,150.0,215.0,350.0,150.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
4547.36125,2034.1999999999998,1914.4,4227.605625,4166.46,1931.5,280.0,180.0,140.0,250.0,350.0,150.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
5209.04875,2273.0,2052.5,4884.516250000001,4166.46,1931.5,315.0,200.0,150.0,285.0,350.0,150.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
5879.08,2273.0,2052.5,4227.605625,4166.46,1931.5,350.0,200.0,150.0,250.0,350.0,150.0,0.0,0.0,0.0,300.0,100.0,100.0,100.0
5209.04875,2034.1999999999998,2052.5,3581.0825000000004,4166.46,1931.5,315.0,180.0,150.0,215.0,350.0,150.0,0.0,0.0,0.0,190.0,90.0,100.0,0.0
4547.36125,2040.8333333333317,1845.3500000000001,2960.5281250000003,4032.6947222222234,1736.65,280.0,180.55555555555543,135.0,180.0,339.44444444444457,135.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0
3916.2675,1805.2111111111096,1639.0,2358.1518750000005,3652.5197222222237,1736.65,245.0,160.55555555555543,120.0,145.0,309.44444444444457,135.0,0.0,0.0,0.0,180.0,100.0,80.0,0.0
3301.86125,1572.8888888888873,4.854794603437496e6,1773.95375,4096.057222222224,1931.5,210.0,140.55555555555543,0.0,110.0,344.44444444444457,150.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
2709.705,1343.8666666666652,2052.5,2191.2381250000003,4032.6947222222234,0.0,175.0,120.55555555555543,150.0,135.0,339.44444444444457,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
2142.58,0.0,2052.5,1607.04,3589.1572222222235,650.5,140.0,0.0,150.0,100.0,304.44444444444457,50.0,0.0,0.0,0.0,205.55555555555532,5.5555555555553156,100.0,100.0
2709.705,2273.0,0.0,2191.2381250000003,4032.6947222222234,0.0,175.0,200.0,0.0,135.0,339.44444444444457,0.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
2498.220625000005,0.0,1028.75,1607.04,3589.1572222222235,1388.6749999999943,162.5000000000003,0.0,75.0,100.0,304.44444444444457,108.05555555555512,0.0,0.0,0.0,200.0,100.0,0.0,100.0
3090.376875000005,1717.3111111111061,1231.1,2191.2381250000003,4032.6947222222234,0.0,197.5000000000003,153.05555555555512,90.0,135.0,339.44444444444457,0.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
3690.8768750000054,1951.711111111106,1434.25,2783.2268750000003,3722.9224999999997,1277.9166666666679,232.5000000000003,173.05555555555512,105.0,170.0,315.0,99.44444444444454,0.0,0.0,0.0,100.0,100.0,0.0,0.0
4321.970625000006,2190.083333333328,1639.0,3403.7812500000005,4166.46,1381.5249999999955,267.50000000000034,193.05555555555512,120.0,205.0,350.0,107.49999999999966,0.0,0.0,0.0,106.94444444444488,6.944444444444883,100.0,0.0
4969.751875000006,2034.1999999999998,1845.3500000000001,4039.916875000001,4166.46,1574.5749999999955,302.50000000000034,180.0,135.0,240.0,350.0,122.49999999999966,0.0,0.0,0.0,220.0,20.0,100.0,100.0
5639.783125000006,2273.0,2052.5,4696.8275,4166.46,1769.1249999999957,337.50000000000034,200.0,150.0,275.0,350.0,137.49999999999966,0.0,0.0,0.0,300.0,100.0,100.0,100.0
5879.08,2273.0,1845.3500000000001,5377.110000000001,4166.46,1574.5749999999955,350.0,200.0,135.0,310.0,350.0,122.49999999999966,0.0,0.0,0.0,182.50000000000034,82.50000000000034,100.0,0.0
5879.08,2273.0,1639.0,5624.7053125000075,4166.46,1381.5249999999955,350.0,200.0,120.0,322.50000000000034,350.0,107.49999999999966,0.0,0.0,0.0,100.0,0.0,100.0,0.0
5879.08,2034.1999999999998,1434.25,5327.590937500007,3722.9224999999997,1189.3749999999957,350.0,180.0,105.0,307.50000000000034,315.0,92.49999999999966,0.0,0.0,0.0,100.0,100.0,0.0,0.0
5879.08,1798.7,1231.1,5624.7053125000075,4166.46,998.1249999999957,350.0,160.0,90.0,322.50000000000034,350.0,77.49999999999966,0.0,0.0,0.0,0.0,0.0,0.0,0.0
