Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40
1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1000.0,1000.0,1000.0,1000.0,1000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,1000.0,1000.0,1000.0,1000.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0
1000.0,1000.0,1000.0,63.835527240280385,65.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,735.0,635.0,622.2520781623026,621.0876054025828,635.0,625.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,244.9305555555549,250.0,250.0,250.0,250.0,250.0,250.0,249.9999999999999,243.88888888888857,249.9999999999999,210.55555555555586,250.0,250.0,249.9999999999999,250.0,247.82526115859275,250.0,250.0,210.00000000000017,249.9999999999999,250.0,229.8148148148144,249.99999999999994,250.0,249.9999999999999,249.9999999999987,250.0,250.0,200.55555555555569
350.0,350.0,350.0,350.0,350.0,350.0,350.0,348.6848298945704,350.0,350.0,350.0,210.0694444444441,200.00000000000034,200.0,200.0000000000001,200.0,200.00000000000006,200.0,200.00000000000034,200.00000000000043,199.99999999999986,199.99999999999986,199.99999999999986,192.28205128205212,195.15873015873024,185.20146520146596,188.285849952518,199.99999999999986,200.00000000000009,244.9999999999998,185.81236315416345,200.0000000000002,213.88888888888914,199.99999999999986,182.49999999999997,191.2500000000001,199.99999999999994,199.99999999999994,179.62962962962996,220.00000000000003
1000.0,990.0000000000001,925.0,984.4561972987086,960.0,971.0876054025825,302.57261309218217,306.3151701054302,305.0,305.0,300.0000000000001,296.1805555555555,279.9999999999999,279.9999999999997,299.99999999999994,300.0,299.99999999999994,300.00000000000006,299.99999999999994,299.99999999999994,291.1111111111117,270.5555555555556,270.55555555555566,269.6324786324775,275.1587301587301,267.753357753357,236.71415004748218,206.11111111111117,235.37037037036976,255.3703703703701,245.8123631541634,262.50000000000045,296.111111111111,222.96296296296293,293.61111111111074,244.99999999999994,206.11111111111248,206.11111111111106,245.74074074073974,240.55555555555566
