Gen No.,Line1,Line2,Line3,Line4
1,15.80625,16.91875,18.03125,19.14375
2,11.28,11.5,11.72,11.94
3,13.33,13.49,13.65,13.81
4,16.691375,17.730125,18.768875,19.807625
5,11.5475,11.9225,12.2975,12.6725
6,12.63,12.75,12.87,12.99
7,15.80625,16.91875,18.03125,19.14375
8,11.28,11.5,11.72,11.94
9,13.33,13.49,13.65,13.81
10,16.691375,17.730125,18.768875,19.807625
11,11.5475,11.9225,12.2975,12.6725
12,12.63,12.75,12.87,12.99
13,15.80625,16.91875,18.03125,19.14375
14,11.28,11.5,11.72,11.94
15,13.33,13.49,13.65,13.81
16,16.691375,17.730125,18.768875,19.807625
17,11.5475,11.9225,12.2975,12.6725
18,12.63,12.75,12.87,12.99
